Ship,Sunk date,Notes,Coordinates,Year
Nimbin,5-Dec-40,A steamship that hit a mine off Norah Head.,33°15.392′S 151°46.976′E,1940
Norfolk,1800,A sloop that was run aground by convicts at Stockton Beach.,,1800
HMAS Olive Cam,2-Nov-54,An auxiliary minesweeper wrecked near Green Cape Lighthouse.,37°09′04″S 150°00′26″E,1954
USS Osborne,6-Sep-47,A Clemson-class destroyer that was scuttled off Sydney following a fire.,,1947
HMAS Paterson,11-Jun-51,A wooden auxiliary minesweeper that sank off The Entrance.,33°16′40″S 151°34′19″E,1951
HMAS Pioneer,18-Feb-31,A Pelorus-class protected cruiser that was scuttled off Sydney Heads.,33°51.850′S 151°19.844′E,1931
Queen of Nations,31 May 1881,A clipper that ran aground off East Corrimal.,,1881
Recovery,June 1816,A sloop that was wrecked near Port Stephens.,,1816
Shockwave,10-Oct-09,A yacht that ran aground off Flinders Islet.,,2009
HMAS Stalwart,22-Jul-39,An S-class destroyer that was scuttled off Sydney.,33°59.906′S 151°36.067′E,1939
HMAS Swan,2-Feb-34,A River-class torpedo-boat destroyer that sank under tow in the Hawkesbury River.,,1934
Sygna,26-May-74,Ran aground near Newcastle.,32°51′32.94″S 151°50′40.96″E,1974
Tassie III,9-Jun-45,A motor vessel that was wrecked at Byron Bay.,28°38′20″S 153°36′50″E,1945
Three Bees,20 May 1814,A convict ship that caught fire off Bennelong Point.,,1814
Titan,29-Dec-92,A floating crane that broke tow and was scuttled near Kendall.,31°39′51″S 152°52′24″E,1992
HMAS Torrens,24-Nov-30,A River-class torpedo-boat destroyer that was sunk as a target off Sydney Heads.,,1930
Trial,1816,A brig that ran aground at Trial Bay.,,1816
Tuncurry,22-Oct-16,A steamboat that was wrecked off Broken Bay.,33°37.125′S 151°26.422′E,2016
Tuggerah,1919,"Sank during a storm off Marley Beach south of Sydney, with 6 lives lost.",,1919
HMAS Vendetta,2-Jul-48,A V-class destroyer that was scuttled off Sydney Heads.,,1948
HMAS Vigilant,Apr-66,A patrol boat that was scuttled off Sydney.,,1966
Wandra,15-Dec-15,A steamboat that was wrecked off Jervis Bay.,35°02′43″S 150°50′21″E,2015
HMAS Waree,17-Oct-46,A tugboat that ran aground at the mouth of the Clarence River.,29°25.385′S 153°21.854′E,1946
Wendouree,20 July 1898,A steamship that was wrecked at the mouth of the Hunter River.,32°54′50″S 151°47′49″E,1898
William Cossar,14 February 1825,A schooner that was wrecked on the Sow and Pigs Reef.,,1825
Windsor,1816,A sloop that was wrecked on Long Reef.,,1816
Wollongbar (1911),14-May-21,A steamship that was blown ashore at Byron Bay.,28°38′14″S 153°36′37″E,2021
Wollongbar (1922),29-Apr-43,A steamship that was torpedoed by Japanese submarine I-180 off Crescent Head.,,1943
HMAS Woomera,11-Oct-60,An armament store carrier that caught fire off Sydney.,,1960
USS WST-1,27-Jul-45,"Naval salvage tug, ran aground on rocks off Susan Gilmore Beach, Newcastle in heavy fog.",,1945
HMAS Yarra,30-Sep-29,A River-class torpedo-boat destroyer that was sunk as a target.,,1929
HMS Sirius,19 March 1790,"First Fleet ship that sank on the reef in Slaughter Bay, Norfolk Island, while landing stores",,1790
HMAS Arrow,25-Dec-74,An Attack-class patrol boat that was driven ashore by Cyclone Tracy.,,1974
Booya,24-Dec-74,A schooner that was sunk by Cyclone Tracy.,12°23.381′S 130°46.281′E,1974
Brisbane,10 October 1881,Iron steamship that ran aground on Fish Reef off Quail Island north of Port Darwin,12°26′00″S 130°26′18″E,1881
British Motorist,19-Feb-42,A tanker that was sunk in the bombing of Darwin.,12°28.96′S 130°50.33′E,1942
Darwin Princess,Dec-74,A passenger ferry that was sunk by Cyclone Tracy.,,1974
Don Isidro,19-Feb-42,"A transport ship that was bombed by Japanese planes returning from the attack on Darwin. The captain attempted to beach the ship on Bathurst Island, but the engines failed three miles offshore.",11°42.3′S 130°02′E,1942
Ellengowan,27 April 1888,A schooner that sank at its mooring and was abandoned.,12°32′28″S 130°52′08″E,1888
HMAS Hankow,18-Sep-32,A coal hulk that was sunk as a target off Darwin.,,1932
I-124,21-Jan-42,An I-121-class submarine that was sunk during World War II.,12°07′12.33″S 130°06′23.62″E,1942
Kelat,19-Feb-42,A sailing ship that was sunk in the bombing of Darwin.,12°02′00″S 130°05′00″E,1942
HMAS Maroubra,10-May-43,A cutter that was sunk by Japanese aircraft off Milingimbi Island.,,1943
Mauna Loa,19-Feb-42,A cargo ship that was lost in the Japanese bombing of Darwin.,12°29.86′S 130°49.16′E,1942
HMAS Mavie,19-Feb-42,An auxiliary ship that was lost in the Japanese bombing of Darwin.,,1942
USAT Meigs,19-Feb-42,A transport ship that was lost in the Japanese bombing of Darwin.,12°29.26′S 130°49.10′E,1942
Neptuna,19-Feb-42,A cargo ship that was lost in the Japanese bombing of Darwin.,12°28′18″S 130°50′57″E,1942
HMAS Patricia Cam,22-Jan-43,A minesweeper that was sunk by Japanese aircraft near the Wessel Islands.,,1943
USS Peary,19-Feb-42,A Clemson-class destroyer that was lost in the Japanese bombing of Darwin.,12°28′30″S 130°49′45″E,1942
Zealandia,19-Feb-42,A cargo ship that was lost in the Japanese bombing of Darwin.,12°29.00′S 130°51.05′E,1942
Aarhus,24 February 1894,"A German made barque that ran aground near Cape Moreton, and is now a historical site.",27°00′14.31″S 153°26′27.92″E,1894
Bee,17-Mar-01,A ferry that ran aground at Picnic Bay.,,2001
HMAS Carroo,19-Sep-76,A lighter that was scuttled at Hervey Bay.,,1976
Cato,17 August 1803,"A full-rigged ship that ran aground on the Wreck Reefs, along with HMS Porpoise.",,1803
AHS Centaur,14-May-43,"A hospital ship that was torpedoed by Japanese submarine I-177, killing 268 medical staff and crew.",27°16.98′S 153°59.22′E,1943
Cherry Venture,6-Jul-73,A cargo ship that ran aground on Teewah Beach.,25°57′42.00″S 153°10′26.14″E,1973
City of Adelaide,1916,"A steamship that ran aground off Cockle Bay, Magnetic Island, and used as target practice for the Royal Australian Air Force during World War II. The wreck was sunk by Cyclone Althea in 1971.",19°10′29″N 146°49′32″E,1916
Dicky,4 February 1893,A steamship that ran aground at Dicky Beach. The visible remains of the wreck were removed in 2015.,,1893
Duke of York,September 1837,A barque that was wrecked off Moreton Bay.,27°02′11.84″S 153°21′13.64″E,1837
HMQS Gayunda,2-Jun-58,A flat-iron gunboat that was beached as a breakwater off Woody Point.,27°15′43″S 153°06′26″E,1958
George Rennie,1902,"A paddle steamer that was scuttled in Picnic Bay, Magnetic Island.",,1902
Gothenburg,24 February 1875,A steamship that struck the Great Barrier Reef.,19°22′06″S 148°03′21″E,1875
HMS Harrier,July 1891,A schooner that was wrecked on the Great Barrier Reef near Cooktown.,,1891
Jenny Lind,21 September 1850,A barque that was wrecked on Kenn Reef on the Great Barrier Reef.[1],21°16′S 155°48′E,1850
Lady Bowen,1894,A schooner that ran aground on a reef.[2],,1894
Maheno,9-Jul-35,An ocean liner that was beached on Fraser Island while under tow for scrapping in Japan.,25°16′2″S 153°14′18″E,1935
Marloo,27-Sep-14,A steamship that was beached on Fraser Island.,24°56′56″S 153°18′13″E,2014
HMS Mermaid,13 June 1829,A cutter that was wrecked east of Normanby Island.,17°11′57″S 146°17′20″E,1829
Moltke,1911,"A barque that was scuttled in Geoffrey Bay, Magnetic Island.",19°09′13″S 146°52′10″E,1911
HMS Porpoise,17 August 1803,"A sloop that ran aground on the Wreck Reefs, along with Cato.",,1803
RMS Quetta,28 February 1890,A merchant ship that struck a rock off Albany Island.,10°36′34.61″S 142°37′27.01″E,1890
Scottish Prince,2 February 1887,"A barque carrying passengers and cargo from Glasgow was wrecked at the southern tip of Stradbroke Island. The passengers and crew were rescued.[3] Parts of the wreck can still be found in shallow water approximately 500 metres (1,600 ft) offshore south of the Southport Spit and it is a popular diving site.[4] Since 2013, sand movement has resulted in increasing amounts of the wreck becoming visible.[5]",,1887
Swiftsure,4 July 1829,A brig that was wrecked off the Cape York Peninsula.,,1829
HMAS Warrnambool,13-Sep-47,A Bathurst-class corvette that hit a mine in the Great Barrier Reef.,14°45′32″S 145°49′41″E,1947
HMAS Wyatt Earp,24-Jan-59,A motor vessel that was wrecked in a storm off Double Island Point.,,1959
Yongala,23-Mar-11,A passenger ship that sank in a cyclone off Townsville.,19°18′27″S 147°37′31″E,2011
USS YP-279,5-Sep-43,A patrol vessel that foundered off Townsville.,19°12′07″S 146°53′10″E,1943
Aagot,11-Oct-07,A sailing ship that was wrecked on Wardang Island.,,2007
Admella,5 August 1859,"A passenger ship that ran onto a reef off the Carpenter Rocks, with 89 lives lost including 14 children.",37°52′47″S 140°21′3″E,1859
Albatross,13-Mar-13,"A ketch that struck Eclipse Reef, off Wardang Island, during a gale.[6]",,2013
Clan Ranald,31-Jan-09,"A two decked turret steam ship which capsized and sank in a storm, killing 40 of her crew of 64, near the town of Edithburgh.",,2009
Edith Haviland,19 June 1877,A brig that was wrecked on the Carpenter Rocks. One seaman drowned attempting to swim to shore.,,1877
Eleni K,Nov-66,A screw steamer deliberately sunk to make an artificial reef between Goat Island and St Peter Island.,,1966
Ellen,12-Dec-08,A freighter/trawler that was wrecked in Gulf St Vincent at Morgan's Beach.,35°35′46.5″S 138°06′07.6″E,2008
Ethel,2-Jan-04,"An iron barque which ran aground at Reef Head, near Cape Spencer[7]",35°17′55″S 136°53′31″E,2004
Fanny,22 June 1838,"A schooner that was blown ashore near Cape Jaffa, Kingston District Council.",,1838
Ferret,14-Nov-20,"A steamship that was fraudulently taken from its home in Scotland, and arrived in Victoria six months later. The conspirators were caught and charged, but the ship remained in Australia, eventually running aground off Cape Spencer in a storm.",,2020
Frances,29 August 1840,A cutter that was wrecked in the Neptune Islands.,35°33′00″S 136°12′00″E,1840
Gloridia V,12-Mar-77,A cray-fishing boat that was wrecked in the North Neptune Islands.,,1977
Geltwood,14 June 1876,A barque that struck a reef near the town of Southend.,37°37′36″S 140°10′51″E,1876
Hougomont,8-Jan-33,A barque that was scuttled as a breakwater in Stenhouse Bay.,,1933
Investigator,24-Apr-17,A steamship that sank in rough weather southwest of Wardang Island.[6],,2017
Koenig Wilhelm II,30 June 1857,"A barque 800 tons that was wrecked off Robe, off with the loss of 16 crew after unloading 397 Chinese passengers for the Victorian goldfields.",,1857
Lady Kinnaird,21 January 1880,A barque that ran aground off Port Neill.,34°7′48″S 136°21′36″E,1880
Loch Sloy,24 April 1899,"A barque that was wrecked in the Brothers Rocks, off Kangaroo Island.",,1899
Macintyre,1-Apr-27,A schooner that was wrecked on a reef off Wardang Island.,,1927
Marion,11 July 1862,A screw steamer wrecked off Cable Hut Bay.[9],,1862
No 5 dumb hopper barge,Apr-84,A hopper barge that was scuttled in Gulf St Vincent.,34°31′S 138°03′E,1984
Notre Dame d'Avor,20-Mar-20,A barque that ran aground on Wardang Island. The wreck was gutted by an accidental fire the following May.[6],,2020
Postboy,1905,A schooner that was wrecked at Arno Bay.,33°55′12″S 136°34′12″E,1905
Saint Michele,30-Mar-65,A fishing boat that was wrecked on South Neptune Islands.,,1965
Santiago,19-Aug-45,A 3 masted barque abandoned in the Garden Island Ships' Graveyard near Port Adelaide.,34°48′36″S 138°32′24″E,1945
Songvaar,14-Apr-12,A Norwegian cargo ship that sank near Wardang Island when its hull was pierced by one of its own anchors. The wreck was eventually blown up as a shipping hazard.[6],,2012
Star of Greece,13 July 1888,A cargo ship that was wrecked in a storm off Port Willunga.,,1888
South Australian,8 December 1837,"A brig-sloop, formerly the former RN vessel (the Swallow (1824)),  was wrecked at Encounter Bay.",35°34.641′S 138°36.213′E,1837
Varoon,January 1856,A cargo ship that was wrecked twenty miles west of Cape Northumberland.,,1856
Willyama,13-Apr-07,"A screw steamer wrecked south of Rhino Head, near Marion Bay.[10]","35°15'04.8""S 136°58'44.0""E",2007
Zanoni,11 February 1867,A barque which foundered during a squall in Gulf St Vincent.,34°30′43.8″S 138°03′48.4″E,1867
Actaeon,28 October 1822,A ship that was wrecked in the D'Entrecasteaux Channel.,,1822
Blythe Star,13-Oct-73,A coastal freighter that capsized and sank off South West Cape. All the crew escaped the vessel but three lives were lost before the survivors were rescued.,,1973
The Brothers,25 June 1816,A schooner that was driven ashore near the Kent Group.,,1816
Cataraqui,4 August 1845,400 lost when wrecked on King Island.,40°1′37.7″S 143°52′49.6″E,1845
Campbell Macquarie,10 June 1812,A ship that was wrecked off Macquarie Island.,54°37′S 158°52′E,1812
Daphne,26 October 1818,A brig that was wrecked off East Island.,,1818
Enchantress,16 July 1835,A barque that struck the rocks about half a mile off the western shore of Bruny Island.[11],,1835
George III,12 March 1835,A convict ship that sank in the D'Entrecasteaux Channel.,43°31′S 146°59′E,1835
Hebe,15 June 1808,A ship that struck a reef off George Town.,41°03′42.92″S 146°45′18.90″E,1808
Iron Baron,10-Jul-95,"A bulk carrier that ran aground on a reef off George Town, causing an oil spill. It was refloated and scuttled off Flinders Island.",39°13′S 149°08′E,1995
Lake Illawarra,5-Jan-75,"Bulk carrier wrecked in the River Derwent, with 12 lives lost.",42°51′52″S 147°20′45″E,1975
Nella Dan,24-Dec-87,"An icebreaker that ran aground off Macquarie Island, and was subsequently scuttled.",,1987
Netherby,23 July 1866,A full-rigged ship that ran aground off King Island.,,1866
Neva,13 May 1835,"A convict ship that sank off King Island, with about 225 lives lost.",,1835
Phatisalam,9 July 1821,A ship that ran aground on Hunter Island.,,1821
Sydney Cove,9 February 1797,Sank at Preservation Island with no loss of life.,40°29′S 148°04′E,1797
Cambridge,7-Nov-40,A steamship that hit a mine off Wilsons Promontory.,39°9′32″S 146°29′25″E,1940
HMVS Cerberus,2-Sep-26,A breastwork monitor that was scuttled as a breakwater in Half Moon Bay.,37°58′03″S 145°00′28″E,1926
Cheviot,19 October 1887,A steamship that was wrecked near Point Nepean.,38°18′51″S 144°39′51″E,1887
City of Launceston,19 November 1865,A steamship that collided with Penola at Port Phillip.,38°4′33″S 144°49′31″E,1865
City of Rayville,8-Nov-40,A steamship that hit a mine off Cape Otway.,38°58′44″S 143°30′27″E,1940
Clonmel,2 January 1841,"A paddle steamer that was wrecked at Clonmel Island, near the entrance to Corner Inlet.",38°44′44″S 146°40′37″E,1841
Curlip,3-Mar-19,"A paddle steamer that was washed out to sea in a flash flood, and stranded on a beach at Marlo.",,2019
Earl of Charlemont,18 June 1853,A passenger ship that ran aground off Barwon Heads.,38°18′33.43″S 144°29′28.59″E,1853
Falls of Halladale,14-Nov-08,A barque that ran onto the rocks near Peterborough.,38°36′30″S 142°51′26″E,2008
HMAS Goorangai,20-Nov-40,A minesweeper that collided with Duntroon at Port Phillip.,38°17′34″S 144°40′57″E,1940
HMVS Gordon,14-Nov-14,A torpedo boat that was rammed and sunk at Port Phillip.,,2014
Joseph H. Scammell,7 May 1891,A full-rigged ship that ran aground on a reef off Torquay.,38°20′31″S 144°19′54″E,1891
Kanowna,19-Feb-29,"One of Victoria's largest shipwrecks, found in 2005 in Bass Strait.",39°18′36″S 146°07′48″E,1929
Lady Mary Pelham,31 August 1849,A brig that was beached at Port Fairy.,,1849
